epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,9817.89,1.06351,0.67374,1.2245,0.79383,0.72218,0.79621,0.47823,1.43939,0.97775,1.45919,2.82345e-05,2.82345e-05,2.82345e-05
139,9882.48,1.07891,0.68962,1.23161,0.79781,0.72505,0.79588,0.47558,1.44932,0.97491,1.46684,2.55513e-05,2.55513e-05,2.55513e-05
140,9946.52,1.08525,0.68422,1.2414,0.80739,0.72218,0.79584,0.47651,1.4409,0.96466,1.45738,2.30784e-05,2.30784e-05,2.30784e-05
141,10010.6,1.05842,0.67445,1.21708,0.8031,0.72003,0.79304,0.47672,1.43707,0.96738,1.4531,2.08169e-05,2.08169e-05,2.08169e-05
142,10073.6,1.06918,0.67363,1.21915,0.78824,0.73654,0.79403,0.47653,1.44083,0.96822,1.45835,1.87678e-05,1.87678e-05,1.87678e-05
143,10136.2,1.06394,0.67564,1.2234,0.80174,0.71705,0.79397,0.47563,1.44631,0.96837,1.46419,1.6932e-05,1.6932e-05,1.6932e-05
144,10198.6,1.06102,0.67472,1.21092,0.80697,0.72218,0.79576,0.4751,1.44448,0.96986,1.45504,1.53102e-05,1.53102e-05,1.53102e-05
145,10262,1.05827,0.66103,1.21169,0.8038,0.71763,0.79188,0.47084,1.45358,0.97755,1.46568,1.39032e-05,1.39032e-05,1.39032e-05
146,10324.3,1.06084,0.66076,1.20172,0.78988,0.72146,0.79456,0.47516,1.44018,0.97047,1.46184,1.27117e-05,1.27117e-05,1.27117e-05
147,10386.1,1.06893,0.65802,1.21275,0.79393,0.7229,0.79648,0.47693,1.43415,0.97028,1.45773,1.1736e-05,1.1736e-05,1.1736e-05
148,10450,1.07383,0.66859,1.22178,0.79914,0.7169,0.7946,0.47189,1.45043,0.97407,1.4669,1.09768e-05,1.09768e-05,1.09768e-05
149,10511.9,1.0785,0.67228,1.22294,0.79711,0.72003,0.79429,0.47702,1.43548,0.96904,1.45459,1.04342e-05,1.04342e-05,1.04342e-05
150,10574.2,1.06463,0.68256,1.22633,0.79402,0.72505,0.79572,0.48001,1.43088,0.96471,1.45285,1.01086e-05,1.01086e-05,1.01086e-05
